"","Country.Name","SE.XPD.TOTL.GD.ZS_2010","SE.PRM.ENRR.FE_2010","SE.ENR.PRIM.FM.ZS_2010","SE.PRM.UNER_2010","SE.XPD.TOTL.GD.ZS_2011","SE.PRM.ENRR.FE_2011","SE.ENR.PRIM.FM.ZS_2011","SE.PRM.UNER_2011","SE.XPD.TOTL.GD.ZS_2012","SE.PRM.ENRR.FE_2012","SE.ENR.PRIM.FM.ZS_2012","SE.PRM.UNER_2012","SE.XPD.TOTL.GD.ZS_2013","SE.PRM.ENRR.FE_2013","SE.ENR.PRIM.FM.ZS_2013","SE.PRM.UNER_2013","SE.XPD.TOTL.GD.ZS_2014","SE.PRM.ENRR.FE_2014","SE.ENR.PRIM.FM.ZS_2014","SE.PRM.UNER_2014","SE.XPD.TOTL.GD.ZS_2015","SE.PRM.ENRR.FE_2015","SE.ENR.PRIM.FM.ZS_2015","SE.PRM.UNER_2015","SE.XPD.TOTL.GD.ZS_2016","SE.PRM.ENRR.FE_2016","SE.ENR.PRIM.FM.ZS_2016","SE.PRM.UNER_2016","SE.XPD.TOTL.GD.ZS_2017","SE.PRM.ENRR.FE_2017","SE.ENR.PRIM.FM.ZS_2017","SE.PRM.UNER_2017","SE.XPD.TOTL.GD.ZS_2018","SE.PRM.ENRR.FE_2018","SE.ENR.PRIM.FM.ZS_2018","SE.PRM.UNER_2018","SE.XPD.TOTL.GD.ZS_2019","SE.PRM.ENRR.FE_2019","SE.ENR.PRIM.FM.ZS_2019","SE.PRM.UNER_2019"
"25","Bolivia",NA,104.21731,0.99433,71018,NA,100.28627,0.99223,107307,NA,97.59756,0.98645,148890,NA,95.94832,0.9787,157794,NA,94.75959,0.97691,160472,NA,94.9035,0.97968,154801,NA,95.74906,0.98378,140451,NA,96.87381,0.98696,118356,NA,97.64904,0.99004,95364,NA,NA,NA,NA
"26","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,104.10452,0.98179,35318,NA,103.6491,0.97483,35645,NA,102.14022,0.97034,36284,NA,102.06448,0.97776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Brazil",5.6488,NA,NA,NA,5.73741,127.55449,0.92918,489316,5.8551,NA,NA,NA,5.83885,NA,NA,NA,5.94848,NA,NA,NA,6.24106,NA,NA,NA,6.31404,NA,NA,NA,6.32255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","British Virgin Islands",3.817,NA,NA,NA,NA,101.20887,0.9581,2,NA,101.93462,0.9695,171,NA,103.45061,0.9576,103,NA,108.65922,0.954,20,5.13479,114.52555,0.93656,NA,NA,118.67794,0.94539,NA,2.35899,125.92593,0.95761,NA,2.46599,102.45763,0.99819,48,NA,NA,NA,NA
"30","Brunei Darussalam",2.04661,106.30196,0.99564,NA,3.3221,106.48795,0.99404,NA,2.88959,105.44908,0.99112,106,NA,105.92838,0.99665,167,3.35319,105.53414,1.00076,62,NA,105.34552,0.99665,260,4.42541,107.06718,0.99899,59,NA,104.86244,1.00009,145,NA,103.59343,1.00833,295,NA,100.53287,1.00842,225
"31","Bulgaria",3.88239,108.15707,0.99688,450,3.56643,103.32466,0.99513,514,3.49485,99.89592,0.99165,6389,4.0742,97.61666,0.99136,11428,NA,96.28931,0.99253,15467,NA,93.70726,0.98992,21711,NA,90.58599,0.98943,29488,4.0925,89.05228,0.99389,34641,NA,87.19066,0.99441,39977,NA,NA,NA,NA
"32","Burkina Faso",3.50223,74.28184,0.91012,1041497,3.98515,78.47821,0.92762,945880,3.60316,81.77779,0.94733,945663,4.08344,84.26593,0.96726,944859,4.0533,86.17988,0.97429,937911,3.67009,87.20173,0.97444,917327,NA,90.09287,0.97828,761443,5.60347,92.92847,0.9849,746617,5.38379,95.27731,0.9835,689266,NA,94.28289,0.99476,748275
"33","Burundi",6.77525,136.38741,0.98866,59818,6.31925,141.29478,1.00663,NA,6.16786,140.26465,1.01582,NA,5.99536,137.95144,1.01945,NA,6.78452,136.47199,1.0328,NA,6.37054,132.81546,1.02956,NA,4.692,129.4978,1.02292,NA,4.76202,124.78438,1.01499,74286,5.07865,122.17842,1.0125,114262,NA,119.83962,1.01483,140973
"34","Cabo Verde",5.56729,107.02294,0.9293,3355,5.04361,104.80273,0.92575,4140,NA,103.47218,0.9214,3896,5.00144,104.05089,0.92664,4249,4.96387,103.22404,0.92505,4196,5.26691,101.7281,0.93139,4110,5.28879,100.23744,0.9322,4420,5.18175,99.66911,0.93291,4306,NA,100.4555,0.93421,3973,NA,NA,NA,NA
