series,timestamp,value,label
C,2021-05-17T10:59:30.000Z,108.80131530761719,
D,2021-05-17T10:59:30.000Z,119.53787994384766,
E,2021-05-17T10:59:30.000Z,111.2007827758789,
A,2021-05-17T10:59:40.000Z,3501.759765625,
B,2021-05-17T10:59:40.000Z,157.90536499023438,
C,2021-05-17T10:59:40.000Z,108.80131530761719,
D,2021-05-17T10:59:40.000Z,119.53787994384766,
E,2021-05-17T10:59:40.000Z,111.2007827758789,
A,2021-05-17T10:59:50.000Z,3501.759765625,
B,2021-05-17T10:59:50.000Z,157.90536499023438,
C,2021-05-17T10:59:50.000Z,108.80131530761719,
D,2021-05-17T10:59:50.000Z,119.53787994384766,
E,2021-05-17T10:59:50.000Z,111.2007827758789,
A,2021-05-17T11:00:00.000Z,3452.226806640625,
B,2021-05-17T11:00:00.000Z,157.92689514160156,
C,2021-05-17T11:00:00.000Z,109.18292999267578,
D,2021-05-17T11:00:00.000Z,119.43148803710938,
E,2021-05-17T11:00:00.000Z,111.3922119140625,
A,2021-05-17T11:00:10.000Z,3452.226806640625,
B,2021-05-17T11:00:10.000Z,157.92689514160156,
C,2021-05-17T11:00:10.000Z,109.18292999267578,
D,2021-05-17T11:00:10.000Z,119.43148803710938,
E,2021-05-17T11:00:10.000Z,111.3922119140625,
A,2021-05-17T11:00:20.000Z,3452.226806640625,
B,2021-05-17T11:00:20.000Z,157.92689514160156,
C,2021-05-17T11:00:20.000Z,109.18292999267578,
D,2021-05-17T11:00:20.000Z,119.43148803710938,
E,2021-05-17T11:00:20.000Z,111.3922119140625,
A,2021-05-17T11:00:30.000Z,3457.5048828125,
B,2021-05-17T11:00:30.000Z,157.86228942871094,
C,2021-05-17T11:00:30.000Z,109.45853424072266,
D,2021-05-17T11:00:30.000Z,119.13373565673828,
E,2021-05-17T11:00:30.000Z,111.45601654052734,
A,2021-05-17T11:00:40.000Z,3457.5048828125,
B,2021-05-17T11:00:40.000Z,157.86228942871094,
C,2021-05-17T11:00:40.000Z,109.45853424072266,
D,2021-05-17T11:00:40.000Z,119.13373565673828,
E,2021-05-17T11:00:40.000Z,111.45601654052734,
A,2021-05-17T11:00:50.000Z,3457.5048828125,
B,2021-05-17T11:00:50.000Z,157.86228942871094,
C,2021-05-17T11:00:50.000Z,109.45853424072266,
D,2021-05-17T11:00:50.000Z,119.13373565673828,
E,2021-05-17T11:00:50.000Z,111.45601654052734,
A,2021-05-17T11:01:00.000Z,3396.603515625,label_1
B,2021-05-17T11:01:00.000Z,157.77615356445312,
C,2021-05-17T11:01:00.000Z,109.50092315673828,
D,2021-05-17T11:01:00.000Z,118.83601379394531,
E,2021-05-17T11:01:00.000Z,111.43473815917969,
A,2021-05-17T11:01:10.000Z,3396.603515625,label_1
B,2021-05-17T11:01:10.000Z,157.77615356445312,
C,2021-05-17T11:01:10.000Z,109.50092315673828,
D,2021-05-17T11:01:10.000Z,118.83601379394531,
E,2021-05-17T11:01:10.000Z,111.43473815917969,
A,2021-05-17T11:01:20.000Z,3396.603515625,label_1
B,2021-05-17T11:01:20.000Z,157.77615356445312,
C,2021-05-17T11:01:20.000Z,109.50092315673828,
D,2021-05-17T11:01:20.000Z,118.83601379394531,
E,2021-05-17T11:01:20.000Z,111.43473815917969,
A,2021-05-17T11:01:30.000Z,3500.135498046875,label_1
B,2021-05-17T11:01:30.000Z,157.6900634765625,
C,2021-05-17T11:01:30.000Z,109.4797134399414,
D,2021-05-17T11:01:30.000Z,118.53826141357422,
E,2021-05-17T11:01:30.000Z,111.37094116210938,
A,2021-05-17T11:01:40.000Z,3500.135498046875,label_1
B,2021-05-17T11:01:40.000Z,157.6900634765625,
C,2021-05-17T11:01:40.000Z,109.4797134399414,
D,2021-05-17T11:01:40.000Z,118.53826141357422,
E,2021-05-17T11:01:40.000Z,111.37094116210938,
A,2021-05-17T11:01:50.000Z,3500.135498046875,label_1
B,2021-05-17T11:01:50.000Z,157.6900634765625,
C,2021-05-17T11:01:50.000Z,109.4797134399414,
D,2021-05-17T11:01:50.000Z,118.53826141357422,
E,2021-05-17T11:01:50.000Z,111.37094116210938,
A,2021-05-17T11:02:00.000Z,3601.23193359375,label_1
B,2021-05-17T11:02:00.000Z,157.6039276123047,
C,2021-05-17T11:02:00.000Z,109.39493560791016,
D,2021-05-17T11:02:00.000Z,118.21923065185547,
E,2021-05-17T11:02:00.000Z,111.28582763671875,
A,2021-05-17T11:02:10.000Z,3601.23193359375,label_1
B,2021-05-17T11:02:10.000Z,157.6039276123047,
C,2021-05-17T11:02:10.000Z,109.39493560791016,
D,2021-05-17T11:02:10.000Z,118.21923065185547,
E,2021-05-17T11:02:10.000Z,111.28582763671875,
A,2021-05-17T11:02:20.000Z,3601.23193359375,label_1
B,2021-05-17T11:02:20.000Z,157.6039276123047,
C,2021-05-17T11:02:20.000Z,109.39493560791016,
D,2021-05-17T11:02:20.000Z,118.21923065185547,
E,2021-05-17T11:02:20.000Z,111.28582763671875,
A,2021-05-17T11:02:30.000Z,3636.960693359375,label_1
B,2021-05-17T11:02:30.000Z,157.4962615966797,
C,2021-05-17T11:02:30.000Z,109.33133697509766,
D,2021-05-17T11:02:30.000Z,117.87892150878906,
E,2021-05-17T11:02:30.000Z,111.2007827758789,
A,2021-05-17T11:02:40.000Z,3636.960693359375,label_1
B,2021-05-17T11:02:40.000Z,157.4962615966797,
C,2021-05-17T11:02:40.000Z,109.33133697509766,
D,2021-05-17T11:02:40.000Z,117.87892150878906,
E,2021-05-17T11:02:40.000Z,111.2007827758789,
A,2021-05-17T11:02:50.000Z,3636.960693359375,label_1
B,2021-05-17T11:02:50.000Z,157.4962615966797,
C,2021-05-17T11:02:50.000Z,109.33133697509766,
D,2021-05-17T11:02:50.000Z,117.87892150878906,
E,2021-05-17T11:02:50.000Z,111.2007827758789,
A,2021-05-17T11:03:00.000Z,3451.82080078125,label_1
B,2021-05-17T11:03:00.000Z,157.45321655273438,
C,2021-05-17T11:03:00.000Z,109.24649810791016,
D,2021-05-17T11:03:00.000Z,117.55992126464844,
E,2021-05-17T11:03:00.000Z,111.11570739746094,
A,2021-05-17T11:03:10.000Z,3451.82080078125,label_1
B,2021-05-17T11:03:10.000Z,157.45321655273438,
C,2021-05-17T11:03:10.000Z,109.24649810791016,
D,2021-05-17T11:03:10.000Z,117.55992126464844,
E,2021-05-17T11:03:10.000Z,111.11570739746094,
A,2021-05-17T11:03:20.000Z,3451.82080078125,label_1
B,2021-05-17T11:03:20.000Z,157.45321655273438,
C,2021-05-17T11:03:20.000Z,109.24649810791016,
D,2021-05-17T11:03:20.000Z,117.55992126464844,
E,2021-05-17T11:03:20.000Z,111.11570739746094,
A,2021-05-17T11:03:30.000Z,3408.78369140625,label_1
B,2021-05-17T11:03:30.000Z,157.0010528564453,
C,2021-05-17T11:03:30.000Z,109.2253189086914,
D,2021-05-17T11:03:30.000Z,117.28343963623047,
E,2021-05-17T11:03:30.000Z,111.05187225341797,
A,2021-05-17T11:03:40.000Z,3408.78369140625,label_1
B,2021-05-17T11:03:40.000Z,157.0010528564453,
C,2021-05-17T11:03:40.000Z,109.2253189086914,
D,2021-05-17T11:03:40.000Z,117.28343963623047,
E,2021-05-17T11:03:40.000Z,111.05187225341797,
A,2021-05-17T11:03:50.000Z,3408.78369140625,label_1
B,2021-05-17T11:03:50.000Z,157.0010528564453,
C,2021-05-17T11:03:50.000Z,109.2253189086914,
D,2021-05-17T11:03:50.000Z,117.28343963623047,
E,2021-05-17T11:03:50.000Z,111.05187225341797,
A,2021-05-17T11:04:00.000Z,3505.81982421875,label_1
B,2021-05-17T11:04:00.000Z,156.4628143310547,
C,2021-05-17T11:04:00.000Z,109.24649810791016,
D,2021-05-17T11:04:00.000Z,116.96440887451172,
E,2021-05-17T11:04:00.000Z,110.94558715820312,
A,2021-05-17T11:04:10.000Z,3505.81982421875,label_1
B,2021-05-17T11:04:10.000Z,156.4628143310547,
C,2021-05-17T11:04:10.000Z,109.24649810791016,
D,2021-05-17T11:04:10.000Z,116.96440887451172,
E,2021-05-17T11:04:10.000Z,110.94558715820312,
A,2021-05-17T11:04:20.000Z,3505.81982421875,label_1
B,2021-05-17T11:04:20.000Z,156.4628143310547,
C,2021-05-17T11:04:20.000Z,109.24649810791016,
D,2021-05-17T11:04:20.000Z,116.96440887451172,
E,2021-05-17T11:04:20.000Z,110.94558715820312,
A,2021-05-17T11:04:30.000Z,3485.51953125,label_1
B,2021-05-17T11:04:30.000Z,156.33363342285156,
C,2021-05-17T11:04:30.000Z,109.11933135986328,
D,2021-05-17T11:04:30.000Z,116.66668701171875,
E,2021-05-17T11:04:30.000Z,110.88178253173828,
A,2021-05-17T11:04:40.000Z,3485.51953125,label_1
B,2021-05-17T11:04:40.000Z,156.33363342285156,
C,2021-05-17T11:04:40.000Z,109.11933135986328,
D,2021-05-17T11:04:40.000Z,116.66668701171875,
E,2021-05-17T11:04:40.000Z,110.88178253173828,
A,2021-05-17T11:04:50.000Z,3485.51953125,label_1
B,2021-05-17T11:04:50.000Z,156.33363342285156,
C,2021-05-17T11:04:50.000Z,109.11933135986328,
D,2021-05-17T11:04:50.000Z,116.66668701171875,
